1000004,s,0.0,10.0,10.0,+,2021/11/11    15:34
1000010,c,0.0,50.0,50.0,+,2021/11/11    15:34
1000011,c,0.0,10.0,10.0,+,2021/11/11    15:37
1000011,c,10.0,10.0,20.0,+,2021/11/11    15:37
1000011,c,20.0,10.0,30.0,+,2021/11/11    15:37
1000013,c,0.0,20.0,20.0,+,2021/11/11    15:39
1000013,c,20.0,20.0,40.0,+,2021/11/11    15:39
1000013,c,40.0,20.0,60.0,+,2021/11/11    15:39
1000013,c,60.0,20.0,80.0,+,2021/11/11    15:39
1000013,c,80.0,20.0,100.0,+,2021/11/11    15:39
1000012,c,0.0,10.0,10.0,+,2021/11/11    15:40
1000012,c,10.0,10.0,20.0,+,2021/11/11    15:40
1000012,c,20.0,10.0,30.0,+,2021/11/11    15:40
1000012,c,30.0,10.0,40.0,+,2021/11/11    15:40
1000012,c,40.0,10.0,50.0,+,2021/11/11    15:40
1000004,s,10.0,100.0,110.0,+,2021/11/11    15:41
1000004,s,110.0,100.0,210.0,+,2021/11/11    15:41
